ImageID,Labels,Caption
0.jpg,1,"['woman', 'swim', 'suit', 'holding', 'parasol', 'sunny', 'day']"
1.jpg,1 19,"['couple', 'men', 'riding', 'horses', 'top', 'green', 'field']"
2.jpg,1,"['brave', 'riding', 'jungle', 'elephants']"
3.jpg,8 3 13,"['black', 'silver', 'clock', 'tower', 'intersection', 'near', 'tree']"
4.jpg,8 3 7,"['train', 'coming', 'stop', 'tracks', 'side']"
5.jpg,1,"['young', 'man', 'riding', 'skateboard', 'air']"
6.jpg,5,"['big', 'airplane', 'flying', 'big', 'blue', 'sky']"
7.jpg,1 4,"['man', 'riding', 'motor', 'bike', 'across', 'forest']"
8.jpg,8 3,"['street', 'lined', 'packed', 'buildings']"
9.jpg,1 18 15,"['skate', 'park', 'next', 'body', 'water', 'green', 'park']"
10.jpg,1,"['woman', 'cutting', 'pizza', 'fork', 'knife', 'sitting', 'next', 'young', 'girl']"
11.jpg,1,"['man', 'woman', 'cut', 'big', 'cake']"
12.jpg,1 15,"['piece', 'cake', 'coffee', 'outdoor', 'table']"
13.jpg,1 3,"['people', 'gathered', 'outside', 'big', 'field', 'cloudy', 'day']"
14.jpg,1 13 7,"['stop', 'sign', 'directs', 'pedestrians', 'train', 'travels']"
15.jpg,1,"['female', 'military', 'uniform', 'cutting', 'businessman', 'neck', 'tie']"
16.jpg,1,"['six', 'snowboards', 'propped', 'snow', 'rail']"
17.jpg,3 5,"['small', 'airplane', 'runway']"
18.jpg,1 3 6,"['female', 'traveler', 'leaning', 'luggage', 'cart']"
19.jpg,18 3,"['dog', 'playing', 'toy', 'grass']"
20.jpg,1,"['people', 'sampling', 'wine', 'wine', 'tasting']"
21.jpg,18,"['stuffed', 'bear', 'laying', 'grass']"
22.jpg,1,"['beautiful', 'women', 'wearing', 'bikinis', 'frolicking', 'sandy', 'beach']"
23.jpg,1,"['man', 'tossing', 'orange', 'frisbee', 'top', 'lush', 'green', 'field']"
24.jpg,1,"['man', 'holding', 'glass', 'wine', 'side']"
25.jpg,7,"['passenger', 'train', 'stopped', 'station']"
26.jpg,1,"['young', 'boy', 'playing', 'soccer', 'grassy', 'field']"
27.jpg,1,"['little', 'girl', 'holding', 'wet', 'broccoli', 'hand']"
28.jpg,1,"['landscape', 'snowy', 'mountain', 'skiers', 'trail', 'snow']"
29.jpg,1,"['man', 'bushy', 'beard', 'green', 'tie']"
30.jpg,18,"['white', 'dog', 'holding', 'purple', 'frisbee', 'mouth']"
31.jpg,9,"['couple', 'boats', 'water']"
32.jpg,1 3,"['two', 'people', 'playing', 'tennis', 'neighborhood', 'park']"
33.jpg,1,"['tennis', 'player', 'action', 'court']"
34.jpg,1,"['person', 'licks', 'thumb', 'holding', 'piece', 'food']"
35.jpg,17 1,"['cat', 'lying', 'back', 'man', 'lap']"
36.jpg,1,"['standing', 'woman', 'remote', 'control', 'hand']"
37.jpg,1 6,"['los', 'angeles', 'school', 'bus', 'parked', 'parking', 'lot']"
38.jpg,18,"['dog', 'stands', 'next', 'skateboard', 'leaned', 'wall']"
39.jpg,1 10 15,"['man', 'holding', 'hands', 'together', 'sitting', 'bench']"
40.jpg,1 4,"['man', 'dirt', 'bike', 'redheaded', 'woman', 'lap']"
41.jpg,1 2,"['people', 'playing', 'tennis', 'court', 'sunny', 'day']"
42.jpg,1 6,"['man', 'standing', 'next', 'large', 'red', 'bus']"
43.jpg,3 5 6 8 10,"['airplane', 'sitting', 'middle', 'city']"
44.jpg,1 5,"['people', 'gather', 'around', 'man', 'gets', 'old', 'time', 'airplane']"
45.jpg,1,"['man', 'leaning', 'inspects', 'woman', 'shoes']"
46.jpg,17,"['close', 'cat', 'laying', 'grass', 'near', 'shoe']"
47.jpg,18,"['brown', 'white', 'chihuahua', 'stands', 'stuffed', 'giraffe', 'toy', 'gray', 'ribbon']"
48.jpg,1,"['three', 'young', 'women', 'trying', 'catch', 'frisbee']"
49.jpg,4,"['rusted', 'red', 'motorcycle', 'parked', 'beside', 'red', 'building']"
50.jpg,1,"['young', 'man', 'riding', 'skateboard', 'ramp']"
51.jpg,17 3,"['cat', 'sitting', 'top', 'vehicle']"
52.jpg,3 4,"['motorcycle', 'parked', 'parking', 'spot', 'lot']"
53.jpg,1 7,"['train', 'googly', 'eyes', 'sitting', 'near', 'platform']"
54.jpg,19,"['statue', 'man', 'top', 'horse']"
55.jpg,1,"['sandy', 'beach', 'covered', 'white', 'surfboards', 'near', 'ocean']"
56.jpg,6,"['white', 'red', 'bus', 'side', 'street']"
57.jpg,17 1,"['woman', 'cat', 'mirror']"
58.jpg,1 4,"['person', 'riding', 'motorcycle', 'country', 'road']"
59.jpg,1,"['dark', 'room', 'three', 'people', 'computers']"
60.jpg,1 3,"['people', 'gathering', 'near', 'bright', 'orange', 'air', 'balloons']"
61.jpg,1 4,"['motorcycle', 'parked', 'outside', 'cafe']"
62.jpg,1 3,"['woman', 'wearing', 'pink', 'hat', 'holding', 'black', 'umbrella']"
63.jpg,1,"['woman', 'cuts', 'large', 'cake', 'lit', 'candle']"
64.jpg,1,"['kite', 'surfer', 'spraying', 'water', 'surfs']"
65.jpg,1 18,"['family', 'sitting', 'table', 'cake']"
66.jpg,1 7,"['many', 'people', 'walking', 'suitcases', 'train', 'station']"
67.jpg,16,"['three', 'ducks', 'next', 'shore', 'pond']"
68.jpg,1 3 14,"['black', 'white', 'photograph', 'two', 'men', 'side', 'road']"
69.jpg,17,"['cat', 'siamese', 'looking', 'sleeping', 'side', 'comforter']"
70.jpg,1,"['man', 'surfboard', 'water']"
71.jpg,8 1 3,"['two', 'men', 'cleats', 'grass']"
72.jpg,9 18 1,"['man', 'boat', 'holding', 'dog', 'lap']"
73.jpg,1,"['young', 'man', 'laying', 'ground', 'wearing', 'skis']"
74.jpg,1,"['street', 'night', 'people', 'walking', 'around', 'buildings', 'lit']"
75.jpg,1 5,"['jet', 'sits', 'display', 'air', 'show']"
76.jpg,1,"['man', 'neck', 'suit', 'tie']"
77.jpg,1 2,"['little', 'kid', 'skateboard']"
78.jpg,1,"['two', 'big', 'elephants', 'standing', 'together', 'enclosure']"
79.jpg,1 11,"['people', 'built', 'dog', 'house', 'shaped', 'sand', 'castle']"
80.jpg,1,"['girl', 'wearing', 'tie', 'dress']"
81.jpg,1,"['snowboarder', 'blue', 'pants', 'standing', 'snowboard']"
82.jpg,17,"['couple', 'cats', 'laying', 'couch', 'room']"
83.jpg,1,"['person', 'pulling', 'apart', 'bunch', 'bananas', 'box']"
84.jpg,1 3,"['man', 'cell', 'phone', 'standing', 'street', 'corner', 'house', 'slippers']"
85.jpg,1,"['group', 'people', 'walking', 'next', 'building', 'suitcases']"
86.jpg,1,"['two', 'men', 'pose', 'photograph', 'taken']"
87.jpg,18,"['dog', 'sitting', 'heart', 'beach', 'ocean']"
88.jpg,10 1 2 3,"['bicycle', 'riders', 'crossing', 'street']"
89.jpg,5,"['large', 'air', 'plane', 'flying', 'thru', 'sky', 'mountains', 'background']"
90.jpg,17,"['orange', 'cat', 'laying', 'bed', 'black', 'comforter']"
91.jpg,7,"['train', 'station', 'near', 'snowy', 'mountain', 'belt']"
92.jpg,1,"['woman', 'kneeling', 'pet', 'black', 'white', 'cow', 'laying', 'ground']"
93.jpg,8 1,"['person', 'standing', 'snow', 'next', 'tree']"
94.jpg,1 5,"['many', 'propeller', 'plans', 'biplanes', 'display', 'museum']"
95.jpg,1,"['man', 'performing', 'trick', 'skateboard']"
96.jpg,10 7,"['cargo', 'train', 'traveling', 'railroad', 'tracks']"
97.jpg,17,"['black', 'white', 'cat', 'laying', 'top', 'colorful', 'rug']"
98.jpg,1 3,"['sandwich', 'glass', 'wine', 'outside', 'eatery']"
99.jpg,1,"['woman', 'standing', 'kitchen', 'next', 'jars', 'counter']"
100.jpg,16 9,"['orange', 'boat', 'docked', 'next', 'platform']"
101.jpg,5,"['model', 'red', 'plane', 'hung', 'ceiling']"
102.jpg,1,"['guy', 'playing', 'frisbee', 'outside', 'daytime']"
103.jpg,1,"['people', 'standing', 'sand', 'beach', 'flying', 'kite']"
104.jpg,1,"['mustachioed', 'man', 'football', 'pads', 'helmet', 'poses', 'aggressively', 'baseball', 'bat', 'hand']"
105.jpg,1,"['person', 'umbrella', 'walking', 'near', 'flowers']"
106.jpg,1 4 5,"['airplane', 'flying', 'air', 'motorcycle']"
107.jpg,1,"['elderly', 'woman', 'wheelchair', 'opening', 'christmas', 'gifts']"
108.jpg,1,"['group', 'men', 'standing', 'around', 'counter', 'kitchen']"
109.jpg,1,"['large', 'building', 'clock', 'people', 'nearby']"
110.jpg,1,"['man', 'sitting', 'grass', 'eating', 'food', 'drink']"
111.jpg,1 6,"['person', 'holding', 'tray', 'full', 'orange', 'carrots']"
112.jpg,1,"['man', 'swim', 'shorts', 'riding', 'surf', 'board']"
113.jpg,1 3 5,"['commercial', 'airplane', 'door', 'open', 'people', 'walking']"
114.jpg,1 2 3 4 6 8,"['beautiful', 'young', 'woman', 'riding', 'back', 'motorcycle']"
115.jpg,1 18 17,"['big', 'cat', 'small', 'cat', 'sitting', 'backs', 'turned']"
116.jpg,17 19,"['orange', 'cat', 'standing', 'top', 'brown', 'horse']"
117.jpg,1,"['young', 'guy', 'walking', 'forrest', 'holding', 'object', 'hand']"
118.jpg,1 19,"['man', 'riding', 'back', 'horse']"
119.jpg,1 5,"['people', 'stand', 'around', 'old', 'airplane', 'tilted', 'nose']"
120.jpg,1,"['man', 'flying', 'kite', 'cloudy', 'blue', 'sky']"
121.jpg,1 18,"['baby', 'santa', 'hat', 'boots', 'hold', 'pair', 'pliers']"
122.jpg,3 6,"['wide', 'panned', 'shot', 'london', 'daytime']"
123.jpg,1,"['woman', 'middle', 'swinging', 'tennis', 'racket']"
124.jpg,8 1 18,"['person', 'four', 'wheeler', 'herding', 'sheep', 'snow']"
125.jpg,1,"['two', 'adults', 'child', 'skis', 'snow']"
126.jpg,1,"['man', 'riding', 'surfboard', 'ocean']"
127.jpg,1,"['silver', 'clear', 'drink', 'container', 'black', 'tray', 'fruit', 'next']"
128.jpg,1 9,"['man', 'sitting', 'boat', 'river', 'drinking', 'bottle', 'water']"
129.jpg,1,"['person', 'court', 'tennis', 'racket']"
